tag,child,type,repeat,optional,translation,note,user-facing-label
lb,,,TRUE,,line break,used in CDATA to specify a line break -- convert to <br>,
,,,,,,,
list,,,,,,,
,@numeration,CDATA,FALSE,FALSE,,,
,@type,CDATA,FALSE,FALSE,,,
,head,head,FALSE,FALSE,,,
,item,item,TRUE,TRUE,,,
,defitem,defitem,TRUE,FALSE,,,
,,,,,,,
origination,,,TRUE,,,,Creator
,@label,string,,,,,
,famname,famname,,,,,Families
,persname,persname,,,,,People
,corpname,corpname,,,,,Organizations
,,,,,,,
p,,,TRUE,,,,
,@id,CDATA,,,,,
,emph,emph,,,,,
,lb,lb,,,,,
,CDATA,,,,,,
,date,date,,,,,
,,,,,,,
persname,NA,NA,NA,,,,People
,@rules,CDATA,FALSE,,,,
,@source,CDATA,FALSE,,,,
,@role,CDATA,FALSE,,,,
,CDATA,,FALSE,,,,
,,,,,,,
physdesc,NA,NA,NA,,,,Extent
,@altrender,CDATA,FALSE,,,,
,@id,CDATA,FALSE,,,,
,@label,CDATA,FALSE,,,,
,emph,emph,TRUE,,,,
,extent,extent,TRUE,,,,
,physfacet,CDATA,FALSE,,,,
,CDATA,,FALSE,,,,
,,,,,,,
physloc,,,TRUE,,,,Location of Materials
,@id,CDATA,,,,,
,CDATA,,,,,,
,,,,,,,
profiledesc,,,FALSE,,,,
,creation,creation,,,,,
,descrules,CDATA,,,,,
,langusage,langusage,,,,,
,,,,,,,
publicationstmt,,,FALSE,,,,
,address,address,,,,,
,p,p,,,,,
,publisher,CDATA,,,,,
,,,,,,,
repository,,,TRUE,,,,
,corpname,corpname,,,,,
,,,,,,,
revisiondesc,,,FALSE,,,,Revisions to this Guide
,change,change,TRUE,,,,
,,,,,,,
title,,,TRUE,,,,
,@render,,,,,,
,@source,,,,,,
,CDATA,,,,,,
,,,,,,,
,,,,,,,
titleproper,,,TRUE,,,,
,CDATA,,FALSE,,,,
,emph,emph,TRUE,,,,
,lb,lb,TRUE,,,,
,@type,CDATA,FALSE,,,,
,num,CDATA,TRUE,,,,
,date,date,TRUE,,,,
,,,,,,,
titlestmt,,,FALSE,,,,Collection Processed by
,titleproper,titleproper,TRUE,,,,
,author,string,FALSE,,,,
,sponsor,string,FALSE,,,,Sponsor Note
,subtitle,string,FALSE,,,,
,,,,,,,
unitdate,,,TRUE,,,,Dates
,@normal,CDATA,,,,,
,@type,CDATA,,,,,
,CDATA,,,,,,
,,,,,,,
unitid,,,TRUE,,,,
,CDATA,,,,,,
,,,,,,,
unittitle,,,TRUE,,,,
,lb,lb,TRUE,,,,
,emph,emph,TRUE,,,,
,title,title,TRUE,,,,
,CDATA,,,,,,
